id,code,name,state_visited
1,AL,Alabama,1
2,AK,Alaska,0
4,AZ,Arizona,0
5,AR,Arkansas,0
6,CA,California,1
8,CO,Colorado,0
9,CT,Connecticut,1
10,DE,Delaware,1
11,DC,District of Columbia,1
12,FL,Florida,1
13,GA,Georgia,1
15,HI,Hawaii,0
16,ID,Idaho,0
17,IL,Illinois,1
18,IN,Indiana,0
19,IA,Iowa,0
20,KS,Kansas,0
21,KY,Kentucky,0
22,LA,Louisiana,1
23,ME,Maine,1
24,MD,Maryland,1
25,MA,Massachusetts,1
26,MI,Michigan,1
27,MN,Minnesota,0
28,MS,Mississippi,0
29,MO,Missouri,0
30,MT,Montana,0
31,NE,Nebraska,0
32,NV,Nevada,1
33,NH,New Hampshire,0
34,NJ,New Jersey,1
35,NM,New Mexico,1
36,NY,New York,1
37,NC,North Carolina,0
38,ND,North Dakota,0
39,OH,Ohio,1
40,OK,Oklahoma,0
41,OR,Oregon,1
42,PA,Pennsylvania,1
44,RI,Rhode Island,1
45,SC,South Carolina,0
46,SD,South Dakota,0
47,TN,Tennessee,1
48,TX,Texas,1
49,UT,Utah,1
50,VT,Vermont,1
51,VA,Virginia,1
53,WA,Washington,1
54,WV,West Virginia,0
55,WI,Wisconsin,0
56,WY,Wyoming,0
60,AS,America Samoa,0
64,FM,Federated States of Micronesia,0
66,GU,Guam,0
68,MH,Marshall Islands,0
69,MP,Northern Mariana Islands,0
70,PW,Palau,0
72,PR,Puerto Rico,1
74,UM,U.S. Minor Outlying Islands,0
78,VI,Virgin Islands of the United States,0